mukey,n
160248,20
160249,56
160250,47
160251,6
160252,6
160253,20
160254,11
160255,36
160317,101
160318,850
160319,35
160320,132
160321,17
160322,27
160323,25
160324,565
160325,41
160326,11
160327,109
160328,44
160329,6
160330,30
160331,44
160332,13
160333,6
160334,137
160335,17
160336,18
160337,43
160338,655
160339,122
160340,171
160341,120
160342,97
160343,5
160344,30
160345,10
160346,11
160347,18
160348,22
160349,29
160423,6
160424,1
160425,31
160426,22
160427,2
160428,29
160429,34
160430,22
160431,245
160432,79
160433,23
160434,8
160435,57
160436,11
160437,111
160438,1
160439,163
160441,130
160442,16
160443,11
160444,13
160445,33
160446,6
160447,43
160448,11
160449,25
160450,14
160451,3
160452,8
160453,16
160454,4
160455,12
160456,31
160457,298
160458,39
160459,276
160460,18
160461,2
160462,6
160463,116
160464,71
160465,138
160466,113
160468,62
160469,12
160470,50
160471,2
160472,26
160473,21
160474,27
160475,31
160476,28
160477,17
160478,22
160479,1
160480,219
160481,2
160634,44
160635,176
160636,198
160637,250
160638,31
160639,4
160640,2
160641,45
160642,91
160644,9
160645,192
160646,32
160647,45
160648,272
160649,97
160650,38
160651,18
160652,29
160653,101
160654,39
160655,19
160656,64
160657,17
160658,13
160659,76
160660,13
160661,4
160662,85
160663,217
160664,42
160665,14
160666,9
160667,19
160668,49
160669,21
160670,9
160671,1
160672,63
160673,193
160674,163
160676,21
160677,9
160678,49
160679,1
160680,70
160681,151
160682,72
160683,20
160684,459
160685,13
160686,80
160687,89
160688,120
160689,41
160690,3
160691,30
160692,2
160693,1
160694,3
160697,1
160699,1
160700,30
160701,10
160702,10
160703,45
160704,89
160705,6
160706,1305
160707,8
160708,2123
160709,498
160710,220
160711,72
160712,219
160713,153
160714,11
160715,6
160716,20
160717,4
160718,27
160719,150
160720,12
160721,9
160722,40
160723,69
160724,18
160726,108
160727,18
160728,68
160729,380
160730,86
160731,7
160732,79
160733,352
160734,82
160735,59
160736,18
160737,9
160738,5
160739,7
160740,203
160741,38
160742,138
160743,13
160744,9
160745,3
160746,30
160747,45
160748,9
160749,10
160750,74
160751,5
160752,17
160753,134
160754,59
160755,28
160756,239
160757,199
160758,35
160759,538
160760,37
160761,77
160790,1224
160791,1749
160792,5
160793,31
160794,14
160795,29
160796,20
160797,7
160798,104
160799,514
160800,58
160801,23
160802,115
160803,24
160804,5
160805,16
160806,95
160807,19
160808,2
160809,2
160810,429
160811,5
160812,6
160813,7
160814,17
160815,136
160816,19
160817,49
160818,36
160819,77
160820,66
160821,1624
160822,2016
160823,67
160824,40
160825,7
160826,71
160827,18
160828,7
160829,117
160830,668
160831,41
160832,29
160833,122
160834,13
160835,44
160836,85
160837,55
160838,17
160839,22
160840,105
160841,68
160842,143
160843,33
160844,53
160845,19
160846,4
160847,13
160848,11
160849,110
160850,515
160851,35
160852,59
160853,161
160854,52
160855,88
160856,133
160857,45
160858,65
160859,13
160860,623
160861,429
160862,23
160863,37
160864,151
160865,61
160866,23
160867,25
160868,43
160869,80
160870,122
160871,134
160872,206
160873,138
160874,157
160875,15
160876,13
160877,19
160878,55
160879,89
160880,94
160881,12
160882,39
160883,113
160884,27
160885,6
160886,11
160888,193
160889,27
160890,39
160891,8
160892,74
160893,12
160894,7
160895,80
160896,3
160897,105
160898,261
160899,230
160900,25
160901,6
160902,43
160903,8
160904,28
160905,95
160906,58
160907,12
160908,470
160909,206
160910,439
160911,80
160912,18
160913,142
160914,37
160915,9
160916,307
160917,120
160918,97
160919,10
160920,27
160921,60
160922,4
160923,30
160924,46
160926,25
160927,82
160928,17
160929,617
160930,157
160931,19
160932,209
160975,167
160976,1285
160977,565
160978,71
160979,31
160980,8
160981,560
160982,138
160983,251
160984,15
160985,29
160986,199
160987,21
160988,614
160989,10
160990,11
160991,43
160992,121
160993,200
160994,83
160995,3
160996,15
160997,260
160998,15
160999,62
161000,1
161001,264
161002,213
161003,127
161004,172
161005,5
161006,1113
161007,274
161008,53
161009,526
161159,54
161160,459
161161,266
161162,8
161163,249
161164,157
161165,323
161166,369
161167,28
161168,30
161169,24
161170,9
161171,29
161172,17
161173,105
161174,146
161175,183
161176,174
161177,71
161178,42
161179,18
161180,33
161181,73
161182,39
161183,25
161184,29
161185,5
161186,36
161187,59
161188,17
161189,4
161190,14
161191,3
161192,90
161193,58
161194,29
161195,12
161196,200
161197,36
161198,73
161199,13
161200,38
161201,39
161202,17
161203,22
161204,15
161205,8
161206,9
161207,46
161208,15
161209,5
161210,35
161211,95
161212,39
161213,16
161214,23
161215,16
161216,6
161217,1
161218,19
161219,1
161220,35
161221,474
161222,8
161224,17
161225,9
161226,131
161227,6
161228,232
161229,35
161230,132
161231,7
161232,18
161233,51
161234,40
161235,242
161236,223
161237,41
161238,30
161239,46
161240,32
161241,141
161242,15
161243,11
161244,1329
161245,9
161246,1813
161247,18
161248,15
161249,2
161250,4
161251,6
161252,13
161255,7
161256,21
161257,56
161258,392
161259,34
161260,34
161261,24
161262,8
161263,11
161264,11
161267,22
161268,30
161269,2195
161270,1
161271,8
161272,43
161273,2
161274,63
161275,14
161276,85
161277,39
161278,89
161279,26
161280,29
161281,10
161282,12
161284,40
161285,55
161286,533
161287,9
161288,656
161289,249
161290,331
161291,256
161292,72
161293,839
161294,64
161295,42
161296,27
161297,1039
161298,484
161300,148
161301,15
161302,390
161303,157
161304,8
161305,20
161306,96
161307,245
161308,306
161310,1135
161311,1165
161312,28
161313,105
161314,64
161315,241
161316,343
161317,198
161318,17
161319,22
161320,48
161321,9
161341,56
161342,50
161343,137
161344,39
161345,386
161346,100
161347,57
161348,104
161349,138
161350,146
161351,279
161352,6
161353,27
161354,428
161355,23
161356,103
161357,12
161358,123
161359,8
161360,200
161361,38
161362,35
161363,21
161364,66
161365,83
161366,680
161367,71
161368,67
161369,62
161370,6
161371,460
161372,143
161373,256
161374,6
161375,16
161376,21
161377,55
161378,50
161379,54
161380,2
161381,190
161382,132
161383,269
161384,437
161385,347
161386,54
161387,27
161388,55
161389,49
161390,18
161391,71
161392,145
161393,17
161395,13
161396,48
161397,808
161398,46
161399,163
161400,777
161401,10
161402,610
161403,1
161404,46
161405,5
161406,2
161408,26
161410,66
161411,58
161412,12
161413,16
161414,33
161415,15
161416,4
161417,11
161419,106
161420,79
161421,7
161422,27
161423,20
161424,4
161425,8
161426,40
161427,91
161428,1770
161430,3
161431,8
161432,52
161433,9
161434,89
161435,113
161436,3
161437,6
161438,28
161439,58
161440,526
161441,54
161442,1398
161443,20
161444,865
161445,12
161446,12
161447,663
161448,4
161449,2
161450,10
161451,66
161452,8
161453,39
161454,30
161455,5
161456,6
161458,189
161459,15
161460,6
161461,98
161462,3
161466,26
161467,23
161468,19
161469,19
161470,35
161471,6
161472,522
161473,1
161474,104
161475,104
161476,130
161477,28
161478,35
161479,1232
161480,1618
161481,337
161482,476
161483,9
161484,11
161485,3
161486,5
161487,313
161488,2
161489,73
161490,12
161491,56
161492,58
161493,561
161494,145
161495,42
161496,15
161497,22
161498,171
161499,14
161500,85
161501,17
161502,28
161503,10
161504,210
161505,371
161506,72
161507,12
161508,351
161509,205
161510,23
161511,91
161512,23
161513,10
161514,82
161515,48
161516,15
161517,19
161518,505
161519,110
161520,11
161521,7
161523,12
161524,3
161525,226
161526,7
161527,37
161528,10
161529,14
161530,165
161531,68
161532,36
161533,15
161534,35
161535,5
161537,9
161538,21
161539,47
161540,113
161541,31
161542,16
161543,66
161544,5
161545,13
161546,3
161547,37
161548,2
161549,201
161550,29
161551,31
161552,32
161553,39
161554,22
161555,19
161556,14
161557,112
161558,3
161559,64
161560,29
161561,22
161562,11
161563,20
161564,118
161565,14
161566,177
161567,4
161568,50
161569,23
161570,63
161571,15
161572,8
161573,113
161574,107
161575,28
161576,249
161577,6
161578,54
161579,256
161582,310
161583,27
161584,43
161585,4
161586,3
161587,65
161588,17
161589,1
161590,32
161591,19
161592,4
161593,58
161657,812
161658,1136
161659,318
161660,78
161661,95
161662,50
161663,24
161664,40
161665,148
161666,84
161668,1
161669,511
161670,101
161671,40
161672,30
161673,35
161674,120
161675,67
161677,9
161678,18
161680,34
161681,4
161683,2
161684,4
161685,220
161686,10
161687,99
161688,24
161689,39
161690,28
161691,1
161692,59
161693,95
161761,15
161762,482
161763,795
161764,5
161765,10
161766,9
161767,41
161768,31
161769,61
161770,10
161771,16
161772,7
161773,133
161774,14
161775,5
161776,563
161777,94
161778,11
161779,192
161780,15
161781,6
161782,55
161783,103
161784,14
161785,18
161786,14
161787,4
161788,10
161789,161
161790,38
161791,30
161792,7
161794,22
161795,18
161796,81
161797,437
161798,183
161799,80
161800,35
161801,505
161802,198
161803,33
161804,14
161805,10
161806,11
161807,1
161808,28
161809,806
161810,8
161811,39
161812,255
161813,44
161814,93
161815,16
161816,17
161817,57
161818,30
161819,14
161820,2
161821,128
161822,249
161823,12
161824,14
161825,5
161826,16
161827,44
161829,61
161830,13
161831,10
161832,12
161833,14
161834,12
161835,70
161836,106
161837,72
161838,170
161839,212
161840,67
161841,344
161842,133
161843,46
161844,374
161845,110
161846,250
161847,77
161848,123
161849,924
161850,51
161851,296
161852,158
161853,493
161854,62
161855,346
161856,72
161857,45
161858,239
161859,13
161861,27
161862,105
161863,225
161864,68
161865,9
161866,608
161867,403
161868,70
161869,14
161870,24
161871,413
161872,43
161873,47
161874,48
161875,65
161876,37
161877,13
161878,269
161879,40
161880,652
161881,30
161882,18
161883,137
161884,129
161885,58
161886,52
161887,37
161888,10
161889,20
161890,8
161891,67
161892,293
161893,12
161894,33
161895,14
161896,45
161897,3
161898,2
161899,118
161900,2
161901,15
161902,89
161903,24
161904,53
161905,50
161906,12
161907,13
161908,270
161909,48
161910,17
161911,49
161912,27
161913,318
161914,176
161915,23
161916,3
161917,44
161918,25
161919,26
161920,4
161921,19
161922,5
161923,23
161924,82
161925,10
161926,189
161927,112
161928,29
161929,76
161930,21
161931,1
161932,93
161933,21
161934,29
161935,24
161936,43
161937,41
161938,2
161939,34
161940,41
161941,1
161942,22
161943,54
161945,213
161946,24
161947,34
161948,50
161949,139
161950,73
161951,17
161952,181
161953,1167
161954,137
161955,54
161956,139
161957,199
161958,80
161959,29
161960,19
161961,113
161962,40
161963,62
161964,89
161965,22
161966,86
161967,41
161968,11
161969,3
161970,17
161971,9
161972,5
161973,38
161975,31
161976,20
161977,254
161978,98
161979,46
161980,31
161981,15
161982,57
161983,119
161984,14
161985,22
161986,995
161987,2
161988,164
161989,26
161990,25
161991,251
161992,43
161993,41
161994,20
161995,155
161996,27
161997,53
161998,195
161999,31
162000,60
162001,14
162052,20
162059,558
162060,71
162061,31
162062,1899
162063,25
162064,8
162065,30
162066,53
162067,267
162068,4
162069,2022
162070,89
162071,2
162072,84
162074,1
162075,110
162076,82
162077,10
162078,4
162079,4
162080,137
162081,45
162082,111
162083,2
162084,12
162085,17
162086,4
162087,35
162088,37
162089,21
162090,11
162091,3
162092,11
162093,2
162094,26
162095,7
162097,10
162098,3
162099,13
162100,250
162101,8
162102,29
162103,347
162104,51
162105,25
162106,13
162107,46
162108,112
162109,31
162110,10
162111,155
162114,18
162116,5
162117,72
162118,7
162119,510
162120,22
162121,11
162122,6
162123,22
162124,37
162125,40
162126,18
162127,26
162129,81
162130,174
162131,33
162135,1544
162154,23
162155,11
162156,2089
162157,413
162160,18
162161,75
162163,233
162164,6
162166,218
162256,12
162257,4
162258,132
162259,12
162260,5
162261,31
162262,30
162263,41
162264,1
162265,16
162266,38
162267,49
162268,94
162269,117
162270,1
162271,158
162272,10
162273,28
162274,66
162275,12
162276,7
162277,2
162278,217
162279,98
162280,3
162281,18
162282,35
162283,24
162284,25
162285,94
162286,21
162287,21
162288,119
162289,12
162290,7
162292,14
162293,28
162294,6
162295,21
162296,1
162298,2
162299,4
162300,4
162301,5
162302,137
162303,86
162304,1
162305,1
162306,6
162307,8
162308,3
162311,2
162312,16
162313,18
162314,2
162315,8
162316,4
162317,11
162318,62
162319,147
162320,10
162321,160
162322,291
162323,911
162324,72
162325,10
162326,392
162327,587
162328,1615
162329,19
162330,23
162331,45
162332,54
162333,2
162334,30
162335,360
162336,43
162337,35
162338,74
162339,13
162340,162
162341,11
162342,1306
162343,19
162344,140
162345,49
162346,28
162347,18
162348,52
162349,224
162350,6
162351,2
162352,342
162353,209
162354,73
162355,48
162356,9
162357,222
162358,17
162359,47
162360,34
162361,258
162362,605
162363,8
162364,15
162365,38
162366,101
162367,98
162368,63
162369,355
162370,70
162371,146
162373,16
162374,36
162375,202
162376,440
162377,17
162378,154
162379,677
162380,826
162381,86
162382,8
162383,16
162384,5
162385,22
162386,85
162387,4
162388,53
162389,12
162390,20
162391,144
162392,15
162393,17
162394,357
162395,41
162396,48
162397,358
162398,75
162399,2
162400,15
162401,26
162402,15
162403,6
162404,14
162405,43
162406,251
162407,3
162408,299
162409,154
162410,29
162411,46
162412,15
162413,8
162414,17
162415,413
162416,218
162417,335
162418,44
162419,100
162420,14
162421,183
162422,632
162423,939
162424,955
162425,25
162426,115
162427,177
162428,63
162429,36
162430,165
162431,11
162432,60
162433,58
162434,274
162435,100
162436,101
162437,44
162438,132
162439,32
162440,56
162441,74
162442,49
162443,9
162444,62
162445,128
162446,125
162447,13
162448,6
162449,777
162450,554
162451,126
162452,83
162453,212
162454,311
162455,32
162456,145
162457,120
162458,39
162459,18
162460,26
162461,94
162462,61
162556,77
162557,24
162558,998
162559,22
162560,150
162561,87
162562,43
162563,38
162564,135
162565,991
162566,33
162567,456
162568,85
162569,49
162570,75
162571,295
162572,89
162573,147
162574,130
162575,100
162576,394
162577,80
162578,363
162579,37
162580,59
162581,40
162582,27
162583,83
162584,73
162585,132
162586,97
162587,9
162588,5
162589,8
162590,63
162591,62
162592,147
162593,268
162594,67
162595,311
162596,16
162598,44
162599,68
162600,548
162601,131
162602,9
162603,143
162604,26
162605,52
162606,27
162607,305
162608,23
162609,173
162610,46
162611,28
162612,23
162613,198
162614,139
162615,51
162616,568
162617,79
162618,47
162619,14
162620,480
162621,5
162622,105
162623,3
162624,55
162625,39
162626,172
162627,28
162628,226
162629,7
162630,143
162631,42
162632,42
162633,59
162634,3
162635,22
162636,330
162637,15
162638,34
162639,12
162640,79
162641,75
162642,47
162643,244
162644,19
162645,37
162646,7
162647,11
162649,39
162650,258
162651,116
162652,149
162653,55
162654,18
162655,41
162656,41
162657,21
162658,7
162659,2
162660,20
162661,41
162662,214
162663,33
162664,96
162665,16
162666,91
162667,52
162668,35
162670,14
162671,4
162673,9
162674,2
162675,11
162676,45
162677,10
162678,66
162679,13
162680,104
162681,27
162682,95
162683,13
162684,31
162685,427
162686,110
162687,337
162688,114
162689,10
162690,108
162691,9
162693,2
162694,13
162695,12
162696,11
162697,52
162698,1
162699,1
162700,70
162701,8
162702,28
162703,91
162704,41
162705,16
162706,7
162707,7
162708,252
162709,1135
162710,279
162711,24
162713,8
162714,32
162715,1
162716,146
162717,83
162718,69
162719,42
162720,273
162721,27
162722,6
162723,8
162724,11
162725,24
162726,3
162727,132
162728,16
162729,73
162730,2
162731,54
162732,4
162733,17
162734,189
162735,28
162736,4
162737,126
162738,8
162739,1
162740,37
162741,27
162742,432
162743,51
162744,36
162745,279
162746,9
162747,205
162748,20
162749,15
162750,77
162751,35
162752,116
162754,6
162755,1
162756,3
162757,17
162758,9
162759,85
162760,71
162761,31
162762,2
162763,88
162764,43
162765,112
162766,21
162767,19
162768,122
162769,7
162770,26
162771,167
162772,51
162773,7
162774,7
162775,18
162776,5
162777,18
162778,30
162779,112
162780,78
162781,6
162782,52
162783,3
162784,51
162785,66
162786,1225
162787,221
162788,97
162789,49
162790,53
162791,52
162792,7
162793,5
162796,15
162797,31
162798,46
162799,37
162801,9
162804,21
162805,84
162806,2832
162807,9
162808,145
162809,35
162810,24
162812,3
162813,1
162814,17
162815,29
162816,8
162918,107
162919,4
162920,33
162921,44
162922,8
162923,18
162924,9
162926,45
162927,356
162928,306
162929,44
162930,132
162931,57
162932,30
162933,51
162934,42
162935,40
162936,201
162937,51
162938,118
162939,14
162940,27
162941,31
162942,297
162943,69
162944,35
162945,52
162946,662
162947,72
162948,49
162949,149
162950,12
162951,43
162952,12
162953,53
162954,300
162955,60
162956,112
162957,99
162958,356
162961,14
162962,22
162963,17
162964,65
162965,14
162966,5
162967,13
162968,36
162969,148
162970,93
162971,70
162972,192
162973,103
162974,23
162975,315
162976,111
162977,10
162978,231
162979,20
162980,82
162981,33
162982,86
162983,375
162984,42
162985,42
162986,39
162987,1
162988,74
162989,39
162990,52
162991,3
162992,9
162993,102
162994,33
162995,14
162996,278
162997,11
162998,11
162999,15
163000,61
163001,19
163002,110
163003,151
163004,43
163005,25
163006,25
163007,20
163008,107
163009,192
163010,235
163011,265
163012,199
163013,345
163014,25
163015,597
163016,77
163017,34
163018,23
163019,13
163020,23
163021,715
163022,213
163023,27
163024,374
163025,120
163026,133
163027,65
163028,108
163029,4
163030,105
163031,82
163032,12
163033,39
163034,19
163035,7
163036,12
163037,18
163038,75
163039,78
163040,15
163041,73
163042,65
163044,20
163045,10
163046,9
163047,20
163048,44
163049,19
163050,15
163052,35
163053,49
163054,324
163055,47
163056,354
163057,385
163058,7
163059,111
163060,26
163061,36
163062,11
163063,15
163064,10
163065,1
163066,71
163067,672
163068,573
163069,85
163070,85
163071,13
163072,48
163073,223
163074,21
163076,13
163077,69
163078,20
163079,107
163080,39
163081,3
163082,39
163083,469
163084,12
163085,9
163086,28
163087,380
163088,21
163089,29
163090,24
163091,10
163092,33
163093,10
163094,59
163095,347
163096,91
163097,129
163098,28
163099,15
163100,14
163101,6
163102,38
163103,48
163104,13
163105,148
163106,898
163107,54
163108,19
163109,19
163110,15
163111,6
163112,115
163113,95
163114,23
163115,1
163116,82
163117,5
163118,2
163119,2
163120,3
163121,14
163122,48
163123,40
163124,2
163125,36
163126,49
163127,27
163128,33
163129,16
163130,280
163131,12
163132,30
163133,8
163134,53
163135,99
163136,10
163137,45
163138,35
163139,2
163140,13
163141,39
163142,40
163143,4
163144,5
163146,14
163147,12
163148,10
163149,2
163150,14
163151,97
163153,2
163154,12
163155,22
163156,83
163157,43
163158,27
163159,7
163160,610
163161,39
163162,41
163163,171
163164,5
163165,6
163166,12
163167,31
163168,7
163169,223
163170,29
163171,6
163172,42
163173,36
163174,14
163175,37
163176,19
163177,1
163179,29
163180,17
163181,8
163182,29
163183,30
163184,1
163185,367
163186,140
163187,12
163188,60
163189,4
163190,37
163191,94
163192,71
163193,13
163194,1
163195,1
163196,100
163197,4
163198,8
163199,268
163200,42
163201,50
163202,3
163203,9
163204,7
163205,241
163206,192
163207,5
163208,16
163209,215
163210,21
163211,11
163212,22
163213,410
163214,2
163215,14
163216,6
163217,22
163218,11
163219,34
163220,101
163221,19
163222,3
163224,143
163225,52
163226,139
163227,164
163228,40
163229,12
163230,114
163231,54
163232,15
163233,44
163235,32
163236,3
163237,31
163238,23
163239,31
163240,8
163241,11
163242,8
163243,2
163244,33
163245,44
163246,13
163247,10
163248,12
163249,16
163250,239
163251,23
163252,15
163253,193
163254,10
163255,38
163256,4
163257,179
163258,56
163259,169
163260,15
163261,2
163262,247
163263,36
163264,84
163266,11
163267,5
163427,19
163430,11
163433,36
163434,35
163435,16
163436,17
163437,178
163440,15
163441,132
163442,2139
163444,39
163445,78
163446,41
163447,4
163448,13
163449,20
163450,22
163451,30
163453,27
163480,46
163483,15
163486,8
163497,39
163499,38
163502,61
163504,85
163510,75
163515,229
163517,169
163520,33
163527,35
163530,30
163532,40
163534,11
163535,24
163541,11
163542,12
163544,168
163546,36
163550,231
163557,28
163558,7
163560,56
163562,16
163566,35
163567,60
163571,81
163573,35
163577,22
163580,113
163581,45
163585,22
163586,24
163588,459
163596,9
163597,54
163609,22
163622,13
163624,13
163631,8
163635,39
163646,1
163653,60
163655,29
163666,202
163674,11
163675,50
163678,2
163680,166
163681,87
163685,59
163689,14
163693,123
163694,19
163697,58
163704,16
163705,2
163712,58
163713,8
163720,44
163723,6
163724,15
163725,6
163740,40
163744,12
163745,1
163750,34
163752,21
163753,19
163755,199
163757,37
163760,359
163764,73
163769,14
163772,49
163775,229
163777,36
163782,15
163783,3
163785,22
163789,30
163791,3
163797,9
163800,10
163803,78
163809,9
163820,13
163821,4
163822,290
163833,9
163834,10
163841,11
163848,2
163849,40
163853,9
163854,2
163855,6
163858,4
163865,40
163866,12
163867,31
163870,10
163880,64
163897,46
163900,29
163902,10
163903,53
163904,28
163906,15
163907,50
163916,3
163920,86
163926,321
163933,10
163937,57
163938,16
163953,846
163956,10
163959,14
163960,117
163971,52
164022,4
164026,13
164028,4
164037,5
164039,41
164056,46
164057,20
164058,28
164059,33
164060,21
164063,10
164064,46
164070,16
164074,13
164075,15
164076,115
164078,3
164079,7
164103,35
164104,85
164106,161
164107,3
164115,366
164133,31
164135,91
164148,91
164150,23
164154,36
164155,9
164156,48
164159,15
164161,16
164163,7
164182,53
164201,125
164203,52
164210,21
164215,16
164217,61
164224,9
164226,14
164231,8
164238,49
164240,27
164241,8
164254,10
164262,15
164263,148
164264,27
164265,163
164266,23
164275,115
164277,37
164285,6
164287,9
164289,12
164291,6
164299,15
164300,92
164301,1
164306,17
164308,5
164313,4
164315,711
164317,122
164322,37
164323,22
164324,264
164325,8
164327,649
164331,61
164335,30
164338,30
164355,1
164359,49
164362,33
164363,22
164364,83
164367,30
164368,11
164392,23
164394,24
164416,204
164418,271
164419,38
164420,1
